stars,review_stars,text
3.5,2,"I stayed in cabin #1. You might want to avoid that one. I plugged the coffee maker into the wall socket and shorted out the whole building. Had to get the owners over there to turn the lights back on. Later I tried to plug the I pod into the same outlet and again the lights went out. I ended up making coffee outside the next morning from a different outlet. The building looked like the wire had just been redone. there was a short in the wall socket.

We also had a wasp problem, couldn't sit on the porch due to constant buzzing around our head.

On a happier note, it was a nice campground, The toilets and showers were close. the pool was nice too. Staff was friendly"
4,5,Climate controlled!! Excellent customer service! Check out the rest then store at the best. We looked at multiple storage facilities in the area and not one was as clean or reasonably priced as Stephanie Storage. The folks in the office were very helpful and even threw in a free padlock for our 10x10 unit. We love great customer service :-)
4,5,"Great place for my stuff. Emma and Joe really know what's going on there. 
Joe does a great job at keeping the property clean and nice looking and Emma really knows how to handle the most difficult customers in a professional manner.
I feel comfortable leaving my belongings there and understand that it is MY responsibility to make sure my unit is locked up and secure before I leave. 
All in all, I can't complain. Thanks for a comfortable, honest and professional place to store my extra stuff."
4,1,"DO NOT STORE YOUR BELONGINGS HERE! 

These people are crooks! The storage facility has ALWAYS been dirty, those photos are kind. It is normally WAY WORSE. There is not security on the actual units, just the gate coming in an out. They have a habit of cutting off your locks and stealing your things out of your unit and then putting a lock of their own on the unit which they charge you to take off. 

The staff are very rude and they don't care about you. They just want your money so they can go through your stuff. 

DO NOT STORE YOUR STUFF HERE! GO SOMEWHERE ELSE!!! RUN!!!"
4,4,This place is a really good deal for where it's at! I would store my stuff here again.
4,5,Emma and the staff are super nice.. this is a better place since Dave left..Keep up the good job
2.5,1,"I was going to rent a trailer from this company until I realized that the advertised weekend rental didn't include $49.00 prep fees and then a ton of additional fees like generators, propane, etc. All these add on fees are ridiculous. Advertise the actual fees instead of hiding them in contracts. Dishonest if you ask me."
2.5,1,"RENTER BEWARE. This place is SHADY. They never gave us a copy of the signed paper work, there was no one there when we dropped the trailer off, and therefore no one to go over an inspection with, ironically hours after dropping the trailer off at the STORAGE unit, they found a scratch, they just charged us an additional $200 to the already $200 deposit, WITHOUT even sending us an email breaking down the charges, $400 in total. I've never seen a business do such a shady thing. They don't pre fill the trailers with water, and everything you need to actually run the trailer is an up charge. Our trailer in particular started leaking water in the bathroom during our trip, and the mattresses are literally straight spring mattresses from the 80's. Save your money & find a more reputable business."
2.5,1,"hmmm ..we made a reservation over a month in advance with carson at RVPHX . put  up the deposit via amex for the G1 toyhauler that sleeps 8 for this laborday 4 day holiday weekend. 8-28-14 thru 9-1-14.
 On monday on 8-25-14 i received a phone msg from carson at rvphx stating that  someone damaged the axel on the toyhauler we had reserved and that he had to cancel our reservation for this weekend.
 Bummer right..
i called him back . went to voice mail. he texted back he was in a meeting.
 all communication after this call was via text only
HE NEVER APOLOGIZED or  ATTEMPTED TO MAKE THIS RIGHT.

immediately monday i started looking for a toy hauler via craigslist and rv rental places to get a reservation for this weekend . None are available anywhere.
 thanks for nothing rvphx. 


rkelley"
2.5,1,"**** WARNING - MUST READ BEFORE RENTING ****

I rented from they guys for Memorial day 2014, first of all they take CASH ONLY (which should be a sign). I showed up and get the trailer with my cash, backed up to the trailer, got it all loaded on then he asked me if I wanted Propane (which is REQUIRED to run the heater and fridge), and of course I said yes, so right away I was hit for another $60 or so.. one would think THIS would come with the trailer right.. along with a good battery, which I will get to in a minute.  

So I paid the monies and headed down the road. I get home and smells like Propane in the trailer really bad, I call them back the VERY next day and he said roll the windows down to air it out... I said ""OK"" (not knowing how THIS is helping the obvious gas leak ).  So after a while it doesn't smell as bad (of course 'cause windows were open).  There was nothing he was going to do, so I just headed up camping after charging the battery for about 3 hours since it was dead. (when picking up ther trailer he said the batter would require charging 30 min in morning and 30 min in afternoon while up camping).. Try 7 hours and it still WOULD NOT hold a charge.. Great times.

So I get up to Big Lake and it is rather cold (29 degrees at night) and the gas smell was soo bad, my kids could NOT sleep in the trailer and the fridge went out so ALL of our food went bad.

So I get back to explain the situation to Carson and he said 1st of all I should have SHUT OFF the Propane so it didn't smell in the trailer .. did I mention it was 29 degrees and with no Propane equals.... yep thats right NO HEAT.. I ask what he would do and he said they don't do ""refunds"".. so spent over $600 for a trailer that my family COULD NOT sleep in.. ALL my food went bad AND the battery was dead.

and get this.. he DID CONFIRM there was a gas leak in a fitting inside the trailer and STILL WOULDN'T refund a DIME, but he did want to give me a ""discount"" on my next rental... I OBVIOUSLY told him that $200 of my next rental was NOT WORTH my family Freezing due to his  faulty equipment!!

RENTERS BE-WARE ! ! !"
2.5,5,"We have had two good experiences renting.  We have rented a travel trailer and an RV.  Everything worked great, no problems whatsoever.  I will be honest, the cash only was a little nerve racking at first, but their honesty is very appeciated.

The second time renting we left a very expensive camera and camcorder in the RV.  We didn't even realize what we had done until 2 months later!  They still had everything.  They were just waiting for the owners to contact them.  They didn't know who had left it behind or how long it had been there.  We were so grateful for their honesty.  We would definitely rent again."
2.5,5,"We have rented trailers from Carson at RVPHX for a couple years now.  Every trailer has been clean and well maintained.  We always pay a little extra for the drop and go service, which allows us to drop off the trailer on our way back home, and not have to clean it ourselves. This has made renting a trailer more enjoyable and less time consuming for us.  There website is so easy to find a trailer.  I love all the pictures and details provided.  I have referred RVPHX to several people and still highly recommend them.  For the 2-4 times we camp per year, this is well worth not having a trailer payment, the maintenance and the storage fees!!"
2.5,4,Rvphx was a great experience. I rented a toy hauler that was cleaned inside and out the pick up service was quick and thorough as well as the drop off I would definitely rent again.
2.5,1,"Buyer beware! Shady business. Keep looking for someone else. Dishonest & unprofessional! Will take your money & overcharge your cc without any invoice or conversation, pretty sure that it's illegal & we will report to Better business bureau. RENT FROM SOMEONE ELSE!"
2.5,1,"DO NOT RENT FROM THEM!!! Rented two units for NASCAR weekend. One of the units was operational but filthy with tank sensors that didn't work. The other one was a complete nightmare from the get go. Water tank wouldn't hold water. They ""fixed"" it by bringing out a sealant that we were expected to apply, still didn't hold water. Their compensation was to replace that unit with a ""deluxe"" Class 3 motor home. Needless to say not deluxe given that the generator was completely shot - as in no running AC in 100 degree weather when 4 small kids were with us, a fact they knew in addition to it being filthy as well. 

Their solution, after we had to scream at them on the phone, they'll give us an external generator at no charge. Granted they did send it out Saturday evening, but they told us the guy who was dropping it off was their mechanic, Jeff, who was nice enough and said he wasn't high enough up in the business to make it right or offer any discount because of all of our troubles but come to find out his name isn't Jeff, he shares the same last name with the owner....

However, the external generator was still not a fix and the explanation was that we were taxing the system and using it beyond it's capabilities, um no, we were simply trying to run AC, that's it. My son-in-law is a certified Ford mechanic, it was obvious that the issues with what they rented us were many and severe. 

Returned both units yesterday, was anyone there to check in with, nope. Has anyone contacted us since to make it right, nope. This isn't how people who rent from you in good faith should be treated, it's not how ethical businesses are run, fake names, really?

Do yourself a favor and rent from someone else..."
2.5,5,I have used rv phx multiple times. Great variety of trailers to choose from. Easy and convenient pick up and drop off. I will continue to use them every time I rent a trailer!
2.5,1,"wATCH OUT!!!
If you want safety, this is not the place to rent. I received a trailer with 3 broken/bent stabilizers.  When I pointed this out upon return, I was told that stabilizers were optional on trailers & I didn't really need them anyway. 
When I picked up the trailer, Carson told me that the brake controller on my vehicle wasn't properly connected. He told me to drive it from Phoenix. To Payson anyway, just make sure to allow for room to stop when coming down the hills!!!!!  Really?  I went to the place that had installed the brake controller & had it fixed before my trip. DO NOT RENT FROM THIS PLACE!"
2.5,4,"Everything went as it should have. RV was a lot smaller than we thought it would be. Wish we could have seen it prior to renting, but that's just a risk you take I suppose!"
2.5,1,"We had a horrible experience. He collected over 2,000 without one receipt. Careful on their credit card charges, they feel they have the right to arbitrarily charge you what they feel is right, and tell you about it after the fact. They also sell you insurance without proof of coverage and as I understand it, you have to be licensed to sell this type of coverage. We bought the full coverage but when damage was identified and we tried to use the insurance, no records were presented and they claim it was not for that. Again, no documentation. This is a hole in the wall operation. Approach at risk, not worth the dollars in savings. NOT RECOMMENDED!"
2.5,1,If I could I would give this business negative stars. DO NOT RENT FROM THEM! They do not clean or maintain there rv's/trailers! If you have an issue & contact this business they will be argumentative & come up with excuses to not fix the issue! You have to fill your own water & get your own propane. You pay in full before renting so if you have a negative experience you will not be refunded or compensated.
2.5,1,"I decided to go on a little camping expedition so I looked online (Craigslist) and found RVPHX.com. I think I bothered the guy four times with questions before I actually made it home to look at their website on the main computer. It was very prompt about answering his phone each time I called. So when I got home, I looked online at the two campers he had left and picked the one I liked and made a reservation with deposit. I was supposed to get a call on Saturday to tell me everything was good at another call on Sunday to advise me where to pick the camper up from. I didn't hear from him all weekend. I made two calls on Saturday and three calls on Sunday and left voice messages. On Monday-same, no response from my phone calls, messages or email. Finally on Tuesday I got an email from him letting me know that he messed up and the camper wasn't available. Gave me a song and dance about how he tried to go get a new one but it fell through. He couldn't find it in him to let me know Saturday he was having issues so that I could at least try to find alternative means considering the camping weekend was vastly approaching. So 3 days before I was supposed to be camping, I found myself in a frantic panic searching for a last minute camper without getting raped in pricing. As an avid Yelp user, I didn't think to look at their reviews like I should have. I would've noticed the poor rating and I would've went elsewhere reducing my stress significantly."
2.5,4,"After reserving one of the trailers and THEN reading the reviews we were worried.  HOWEVER, we didnt have any trouble at all.  The only reason we didn't give 5 stars is that the black tank was not empty when we picked it up and we didn't find out until we got to our destination.  Other than that, the guy (I'm not sure what his name was) was understanding on our complaint on that issue.  We have future reservations and we hope they go as well (or better with an empty black tank) as our previous rental."
2.5,5,I have used rv phx multiple times. Great variety of trailers to choose from. Easy and convenient pick up and drop off. I will continue to use them every time I rent a trailer!
2.5,5,"Great service, communication, and RV. Short drive from Sky Harbor airport so we got there and on the road quickly."
3,4,"Overall, our experience at Blue Dog had some issues, but resulted in a happy ending. Truly, 99% of what I considered poor service surrounded our original salesman; he was out of the office for multiple unexpected reasons (food poisoning, sick kid, busy, etc) for the six days following our original meeting (we never did see him again, even at the close of the sale or when we picked up our camper), and was not present or responsive throughout the buying process. However, I don't want one bad apple to spoil the bunch. I was extremely pleased with his back up salesman, James Flodin, who was attentive, fun and efficient, and even more impressed with the Sales Manager, Tom Hanan, who not only completed small but important tasks in his salesman's absence, but also went above and beyond to make a negative situation at closing time a positive. Despite my in-your-face, abrasive complaint in his office, he remained cool, calm and collected, and more importantly, did the right thing to fix it. Tom scored big points in my book, and truly saved a customer with Blue Dog. The Service Department was also helpful and efficient, and even patient with my being upset about something that was out of their control. Lastly, another bonus (and the big picture) was we received an awesome brand new camper at a killer, rock-bottom price, and we can't wait to hit the open road with it. Their prices beat the competition in this area hands down, and we feel we purchased an awesome camper in our budget."
3,2,"While I see, appreciate, and respect the positive reviews here, I will say that my first (and probably last) experience with BDRV was negative. I also was greeted by the very friendly woman there at the desk as you enter. She got some basic information and I shared some of the basics (and a specific travel trailer by name and general specs) on that for which I was looking.  

She called for Nelson to come over and I was greeted by him. She had said that he would be driving me around by cart to view RV's, etc.  I went the direction he went inside the showroom and we stopped at a Winnebago unit. I gave specifics on timeline for purchase, some basics on size (interior and exterior), approximate gross weight desired, year and I also gave him--by  name--a specific EVO model for idea and reference. I gave him the pre-tax, title, and license price point. At this point, it should be clear that while I had not been enrolled in a course on the intricate details of RV'ing, I had done some looking. I also shared with him, by name, a competitor where I had been looking. 

He responded that he didn't have anything like that on the lot at that time and that essentially they had not yet received such units. Seeking to clarify what he was saying, I essentially asked if what he was saying was that he had nothing that met the price point I gave. He focused on the Winnebago unit in front of us and said that that was what he had and (he noted a general ballpark of at least $2000+ over what I had outlined. He wanted me to have his card so that we could continue to connect. He said that there would be no way of really knowing what a final price would be until he sat down and discussed figures, etc. 

I had confirmed, ""So what you are saying, then, is that you don't even carry anything that comes in at the price point I gave you?"" (His response previously was that really nothing they carried would even start at that price point before tax, title, license). My price point I gave him was around $17,000 as I had done research on several units (to include the EVO 195 series) that are in that neighborhood). 

All I got as I was heading toward the counter where the first woman was (I had left my soda on the counter) was his line about there *were* others....but ""Winnebago has........."" Apparently the woman at the counter must have been following the conversation because when I got there she immediately asked if she could get me another sales associate. I tossed his card on the counter and told her no. If this business doesn't carry what apparently he must have considered ""less than"" or ""lower end"" products (e.g. he was only willing to discuss the Winnebago) then perhaps EVO/Forest River and others who are putting units on the lot should consider if they are being best served in doing so. 

I understand the nature of competition and if this business only deals in certain types of RV's or certain price-points of RV's, that is the nature of any business. However, please don't waste my time......when I have chosen to come to your specific dealership....thinking you have something you can get me to consider. Just tell me that you do not have anything on the lot and you won't have anything on the lot that will be below that $19,000+ line in the sand. I can respect that. What happened today....not only do I not respect it.....I put my hand to the keyboard and I Yelp about it.
Regards,
MB"
3,5,"After a couple hiccups, we finally brought home our first Travel Trailer. We settled on the ""Imagine"" from Grand Design (thanks to my wife's great taste). 
Blue Dog RV went ABOVE & BEYOND  to make sure we were satisfied. 
A huge thanks to Derek Yamamoto in Sales. Responsive, attentive, professional, these are just a few descriptors of his character.  Derek went the extra mile!
To Brian & his team in Service & PDI. His team NEVER gave up despite several challenges with our unique tow vehicle. Shout out to George for our walk through also. 
GREAT TEAM @ Blue Dog Las Vegas. 
THANKS from our family to YOURS!!"
3,1,Our experience has been a nightmare!  I would give less stars if i could!  Our unit is less than one year old and has spent most of the months we've owned it in the service department.  It is of course broken again and they can't even get the unit in to look at it for two months!  The unit we purchased (Grand Design Momentum) is garbage and the service is TERRIBLE!!!  Their theory is the issues are the manufacturer's issues not theirs!  After all the issues we've had they should be bending over backwards to try and help...especially since our unit is still under warranty and they could care less!!!!
3,5,"Five Star Plus,
My wife and I live in our RV on a full time bases. Like all things mechanical, issues will arise. We had two separate issues to deal with and we needed to find a certified RV dealer that could  look at and repair the problems at hand. We contacted Blue Dog RV in Las Vegas and spoke to Tim in the service department. We anticipated a long drawn out affair trying to get our repairs completed in a timely manner, we were wrong. Tim quickly set up two appointments to have the repairs done at the Vegas facility. We had our damaged exterior ladder removed and replaced in about an hour. The second apoinment was required to repair a faulty converter, once again about an hour later the work was completed. George the service tech that did the repairs on both occasions has over 25 years experience repairing RV's of all types with the accent on electrical problems. His knowledge and experience are evident based on the quality of his work. As long as we are in the Las Vegas area, we will continue to use Blue Dog Las Vegas for our RV repairs and service needs. Blue Dogs facility is immaculate having a great show room and selection of RV accessories. 5+
Pete & Cheryl D"
3,1,"Please read before considering this place.
This was the worst sales experience of my life. I seen a trailer I liked on the Internet and went to view it. I put money down to secure it and a week later I was told that they were not in possession of the title and this could take days to weeks to secure. How does a dealer sell an rv/ camper without a title in hand and not even tell you up front that it's an issue?? I told the manager and salesman I needed the trailer in a week for a trip. 4 days before the trip it still was not a secure deal and I had to either back out of the deal and rent an rv or they would get the title for me. 2 days before the trip they call and act like they went above and beyond to get this done but it was too late I had to go with a guarantee deal elsewhere. This was a horrible experience and I don't wish it upon anyone. Do not even look at this place please!"
3,1,"Our gripe with Blue Dog Rv is very similar to every single 1 star rating review on yelp. We bought a new 5th wheel toy hauler from them. When we took it camping, we discovered what a piece of junk it was. Our old 5th wheel, purchased used, was in better shape than the thing we bought from Blue Dog. Grey tank and black tank labels were mislabeled. A/C didn't work. Shower leaked water all over the floor causing the flooring to bubble up. Screws popped out all over the place. Maybe this is normal for a brand new 5th wheel? If it is I might as well have bought used. Then to top it off I hear my husband talking to the service department and what a joke....sounded very unorganized and disheveled. They are overworked and can't keep up with the demand of service. Overall I am unsatisfied with this store and do not recommend them to anyone."
3,1,"First things first, TRAVEL NURSES and any potentially RV buyer*******
DO NOT BUY a RV at BLUE DOG

This is for any potential camper and travel nurse. 
I am a travel nurse and live full time in my RV.  I came to Las Vegas and wanted to upgrade my rig, so I went to Blue Dog. First time My husband and I visited Blue Dog, the sales people were very rude and when I asked them for a price on a RV they said that they were not sure what the price was and asked me what kind of car I drove. Frankly, I did not think my car had anything to do with what the price of a RV should be. This made me feel uncomfortable that a sales person would not even have a price for the RV, so I left. 

After shopping around for a few weeks, we decided to return to Blue Dog to give them another chance. We found the rig we wanted. 
We went through the process and bought it. 

*****THEY CHARGED US THOUSANDS MORE THAN WHAT THE ACTUAL PRICE WAS!!! 
We found out that they did this on day of delivery and since they already got their money, they would not refund the difference!!!!! Corporate was called and did not stand behind the actual price but that is not unexpected due to the fact that they did not return our call for over a month. Corporate states that our trade in was not good enough even though it was appraised for thousands more than what they gave and was in excellent condition!!! They stated that the rig was broken and that cat hair was everywhere, well, We don't have a cat and nothing was broken on the rig-- so now they are making things up. Sooo many lies!!!!! 
Most poor customer service that I have ever experienced in my life!!!!
This is where it gets real fun-----
First of all they prepared the incorrect rig but we had waiting a long time so we ended up just switching out furniture and taking the rig that they prepared. 
When they did the walk thru, they rushed thru it and did not explain anything so we did not get any training on the rig. 
The person that delivered our rig was good( hence the one star)
When the rig was delivered we noticed that the wood trim  cover on the ceilings were coming off, the TV hook ups were backwards, the kitchen plumbing had to be redone, cabinet doors were not adjusted and  were uneven, water was never hooked up to refrigerator like we were told and the fireplace did not come with remote like we were told that it would. 
Again, very poor customer service and as soon as we had it purchased it became worse!!!!

Please pass this forward to anyone looking to buy a RV, believe me, we pass this on to everyone we know and run into shopping for a RV!!!!"
3,1,"Terrible terrible service. Will never buy there or recommend them. They don't acknowledge when you walk through the door, they don't ask of you need any help, ignore you and walk right past you when you ask a question.  I would give 0 stars but that's not an option"
3,1,"I would not tell any one to go to blue dog rv for anything after going to there rv show the first camper I went in they had opened up the cabinets  to hold up the ceiling , the next one the doors fell off the cabinets when they were opened , the next one the door know fell off when the salesman open the door and he said o that happens all the time , so my wife and I left"
3,5,"We are traveling cross country for two years and were visiting Vegas for several weeks. We were having some warranty issues with our brand new Keystone that we bought in another state. Initially, due to Keystone's website we were directed to a competitor (Johnnie Walkers) and we had THE WORST experience there, more than once, but because they were warranty items we felt forced to use them. Only after complaining to Keystone about how we were treated at JW were we introduced to Blue Dog and WOW, what a major night and day difference.

Right off the bat Blue Dog was so welcoming and friendly. Literally, right from the minute we walked in the front door. We have been back several times since and never once were we made to feel that we were inconveniencing them or that our business wasn't appreciated. And they have a great deal of parts and supplies in stock. 

The real gem however has been our experience with Tim in service. He was so helpful, patient and knowledgeable, he also facilitated conversations with Keystone, and discussed different upgrades we could make. Tim's communication, follow-up and customer service were top notch.  He even worked us in when we were having A/C issues because we're full-time and have our 6 year old with us. 

The service Tim provided, and our over all  experience with everyone at Blue Dog has been superior to any of our experiences with other dealerships across the country. So glad we found them!!"
